INFO  - 2013-11-03 09:07:47.662; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/161484/solr-4.5.0/contrib/extraction/lib/tika-core-1.4.jar' to classloader
INFO  - 2013-11-03 09:07:47.662; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/161484/solr-4.5.0/contrib/extraction/lib/tika-parsers-1.4.jar' to classloader
INFO  - 2013-11-03 09:07:47.662; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/161484/solr-4.5.0/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2013-11-03 09:07:47.662; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/161484/solr-4.5.0/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2013-11-03 09:07:47.663; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/161484/solr-4.5.0/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2013-11-03 09:07:47.663; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/161484/solr-4.5.0/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
INFO  - 2013-11-03 09:07:47.663; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/161484/solr-4.5.0/contrib/extraction/lib/xz-1.0.jar' to classloader
INFO  - 2013-11-03 09:07:47.664; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/161484/solr-4.5.0/dist/solr-cell-4.5.0.jar' to classloader
INFO  - 2013-11-03 09:07:47.665; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/161484/solr-4.5.0/contrib/clustering/lib/attributes-binder-1.2.0.jar' to classloader
INFO  - 2013-11-03 09:07:47.665; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/161484/solr-4.5.0/contrib/clustering/lib/carrot2-mini-3.8.0.jar' to classloader
INFO  - 2013-11-03 09:07:47.665; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/161484/solr-4.5.0/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2013-11-03 09:07:47.665; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/161484/solr-4.5.0/contrib/clustering/lib/jackson-core-asl-1.7.4.jar' to classloader
INFO  - 2013-11-03 09:07:47.666; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/161484/solr-4.5.0/contrib/clustering/lib/jackson-mapper-asl-1.7.4.jar' to classloader
INFO  - 2013-11-03 09:07:47.666; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/161484/solr-4.5.0/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2013-11-03 09:07:47.666; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/161484/solr-4.5.0/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2013-11-03 09:07:47.666; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/161484/solr-4.5.0/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2013-11-03 09:07:47.667; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/161484/solr-4.5.0/dist/solr-clustering-4.5.0.jar' to classloader
INFO  - 2013-11-03 09:07:47.667; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/161484/solr-4.5.0/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2013-11-03 09:07:47.668; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/161484/solr-4.5.0/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2013-11-03 09:07:47.668; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/161484/solr-4.5.0/dist/solr-langid-4.5.0.jar' to classloader
INFO  - 2013-11-03 09:07:47.669; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/161484/solr-4.5.0/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
INFO  - 2013-11-03 09:07:47.669; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/161484/solr-4.5.0/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2013-11-03 09:07:47.669; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/161484/solr-4.5.0/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2013-11-03 09:07:47.669; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/161484/solr-4.5.0/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2013-11-03 09:07:47.704; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/161484/solr-4.5.0/dist/solr-velocity-4.5.0.jar' to classloader
INFO  - 2013-11-03 09:07:47.825; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2013-11-03 09:07:47.830; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_45
INFO  - 2013-11-03 09:07:47.931; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2013-11-03 09:07:47.937; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2013-11-03 09:07:48.007; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2013-11-03 09:07:48.508; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2013-11-03 09:07:48.597; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2013-11-03 09:07:48.607; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2013-11-03 09:07:48.744; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2013-11-03 09:07:48.751; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /Users/161484/solr-4.5.0/example/solr/collection1/, dataDir=/Users/161484/solr-4.5.0/example/solr/collection1/data/
INFO  - 2013-11-03 09:07:48.752; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2013-11-03 09:07:48.758; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2013-11-03 09:07:48.758; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2013-11-03 09:07:48.771; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/161484/solr-4.5.0/example/solr/collection1/data
INFO  - 2013-11-03 09:07:48.772; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/Users/161484/solr-4.5.0/example/solr/collection1/data/index/
WARN  - 2013-11-03 09:07:48.772; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/Users/161484/solr-4.5.0/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2013-11-03 09:07:48.779; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/161484/solr-4.5.0/example/solr/collection1/data/index
INFO  - 2013-11-03 09:07:48.819; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.NIOFSDirectory@/Users/161484/solr-4.5.0/example/solr/collection1/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@33946464; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2013-11-03 09:07:48.820; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2013-11-03 09:07:48.823; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2013-11-03 09:07:48.823; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2013-11-03 09:07:48.824; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2013-11-03 09:07:48.827; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2013-11-03 09:07:48.827; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2013-11-03 09:07:48.905; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2013-11-03 09:07:48.914; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2013-11-03 09:07:48.914; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2013-11-03 09:07:48.916; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2013-11-03 09:07:48.916; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2013-11-03 09:07:48.919; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2013-11-03 09:07:48.920; org.apache.solr.core.RequestHandlers; created /update/json: solr.JsonUpdateRequestHandler
INFO  - 2013-11-03 09:07:48.922; org.apache.solr.core.RequestHandlers; created /update/csv: solr.CSVRequestHandler
INFO  - 2013-11-03 09:07:48.922; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2013-11-03 09:07:48.923; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2013-11-03 09:07:48.923; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2013-11-03 09:07:48.923; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2013-11-03 09:07:48.923; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2013-11-03 09:07:48.923; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2013-11-03 09:07:48.942; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2013-11-03 09:07:48.945; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2013-11-03 09:07:48.948; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2013-11-03 09:07:48.957; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2013-11-03 09:07:48.957; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-11-03 09:07:48.957; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2013-11-03 09:07:48.957; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-11-03 09:07:48.957; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2013-11-03 09:07:48.958; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-11-03 09:07:48.958; org.apache.solr.core.RequestHandlers; created /clustering: solr.SearchHandler
INFO  - 2013-11-03 09:07:48.958; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: org.apache.solr.handler.js.JavaScriptRequestHandler
INFO  - 2013-11-03 09:07:48.958; org.apache.solr.core.RequestHandlers; created /js: org.apache.solr.handler.js.JavaScriptRequestHandler
INFO  - 2013-11-03 09:07:48.976; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-11-03 09:07:48.976; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2013-11-03 09:07:48.977; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-11-03 09:07:48.977; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2013-11-03 09:07:48.993; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2013-11-03 09:07:48.995; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2013-11-03 09:07:48.996; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2013-11-03 09:07:49.012; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2013-11-03 09:07:49.012; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2013-11-03 09:07:49.016; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.NIOFSDirectory@/Users/161484/solr-4.5.0/example/solr/collection1/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@33946464; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2013-11-03 09:07:49.016; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2013-11-03 09:07:49.022; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@4c4d2a8 main
INFO  - 2013-11-03 09:07:49.026; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2013-11-03 09:07:49.032; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2013-11-03 09:07:49.038; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2013-11-03 09:07:49.039; org.apache.solr.handler.clustering.ClusteringComponent; Initializing Clustering Engines
INFO  - 2013-11-03 09:07:49.059; org.apache.solr.handler.clustering.carrot2.CarrotClusteringEngine; Initializing Clustering Engine 'lingo'
INFO  - 2013-11-03 09:07:49.061; org.apache.solr.handler.clustering.carrot2.SolrResourceLocator; Loaded Solr resource: clustering/carrot2/lingo-attributes.xml
INFO  - 2013-11-03 09:07:49.249; org.apache.solr.handler.clustering.carrot2.CarrotClusteringEngine; Initializing Clustering Engine 'stc'
INFO  - 2013-11-03 09:07:49.249; org.apache.solr.handler.clustering.carrot2.SolrResourceLocator; Loaded Solr resource: clustering/carrot2/stc-attributes.xml
INFO  - 2013-11-03 09:07:49.257; org.apache.solr.handler.clustering.carrot2.CarrotClusteringEngine; Initializing Clustering Engine 'kmeans'
INFO  - 2013-11-03 09:07:49.258; org.apache.solr.handler.clustering.carrot2.SolrResourceLocator; Loaded Solr resource: clustering/carrot2/kmeans-attributes.xml
INFO  - 2013-11-03 09:07:49.269; org.apache.solr.handler.clustering.ClusteringComponent; Default engine for search results clustering: lingo
INFO  - 2013-11-03 09:07:49.270; org.apache.solr.handler.clustering.ClusteringComponent; Finished Initializing Clustering Engines
INFO  - 2013-11-03 09:07:49.270; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /Users/161484/solr-4.5.0/example/solr/collection1/conf/elevate.xml
INFO  - 2013-11-03 09:07:49.296; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2013-11-03 09:07:49.297; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@4c4d2a8 main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2013-11-03 09:07:49.297; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2013-11-03 09:07:49.300; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/Users/161484/solr-4.5.0/example
INFO  - 2013-11-03 09:07:49.300; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2013-11-03 09:07:49.335; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={event=firstSearcher&q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false} hits=0 status=0 QTime=37 
INFO  - 2013-11-03 09:07:49.336; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2013-11-03 09:07:49.336; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2013-11-03 09:07:49.337; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2013-11-03 09:07:49.337; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2013-11-03 09:07:49.337; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@4c4d2a8 main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2013-11-03 09:08:53.244; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={indexInfo=false&_=1383498533239&wt=json} status=0 QTime=1 
INFO  - 2013-11-03 09:08:53.306; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/system params={_=1383498533271&wt=json} status=0 QTime=32 
INFO  - 2013-11-03 09:09:09.722; org.eclipse.jetty.server.handler.ContextHandler$Context; No JSP support.  Check that JSP jars are in lib/jsp and that the JSP option has been specified to start.jar
INFO  - 2013-11-03 09:26:23.883; org.eclipse.jetty.server.Server; Graceful shutdown SocketConnector@0.0.0.0:8983
INFO  - 2013-11-03 09:26:23.884; org.eclipse.jetty.server.Server; Graceful shutdown o.e.j.w.WebAppContext{/solr,file:/Users/161484/solr-4.5.0/example/solr-webapp/webapp/},/Users/161484/solr-4.5.0/example/webapps/solr.war
